category,goal,pledged,funded,blurb_adj,blurb_noun,blurb_verb,blurb_total,full_adj,full_noun,full_verb,full_total,train
Photography,3700,1,FALSE,0.105263158,0.263157895,0.157894737,19,0.069444444,0.180555556,0.166666667,144,0
Film & Video,15000,0,FALSE,0.217391304,0.086956522,0.260869565,23,0.111940299,0.164179104,0.223880597,134,0
Publishing,10000,0,FALSE,0.043478261,0,0.130434783,23,0.032258065,0.161290323,0.225806452,31,0
Publishing,1500,15,FALSE,0.038461538,0.230769231,0.192307692,26,0.04,0.16,0.22,50,1
Food,22000,100,FALSE,0,0.208333333,0.166666667,24,0.09039548,0.152542373,0.152542373,177,1
Film & Video,25000,1431,FALSE,0.142857143,0.142857143,0.142857143,14,0.089683075,0.136884693,0.129467296,1483,0
Food,8000,0,FALSE,0.08,0.12,0.2,25,0.038558256,0.099748533,0.106454317,1193,1
Journalism,100,0,FALSE,0.083333333,0.083333333,0.25,24,0.037634409,0.150537634,0.172043011,186,1
Art,65000,15,FALSE,0,0.142857143,0.285714286,7,0.05370844,0.153452685,0.191815857,391,1
Fashion,8500,10266,TRUE,0.047619048,0.19047619,0.142857143,21,0.079854809,0.161524501,0.161524501,551,0
Publishing,500,0,FALSE,0.166666667,0.291666667,0.041666667,24,0.079411765,0.182352941,0.202941176,340,0
Film & Video,1000,100,FALSE,0.166666667,0.25,0.166666667,12,0.161290323,0.225806452,0.225806452,31,0
Photography,30000,0,FALSE,0,0.238095238,0.142857143,21,0.115942029,0.188405797,0.188405797,69,0
Art,3000,3707,TRUE,0.055555556,0.111111111,0.055555556,18,0.04109589,0.212328767,0.150684932,146,1
Music,1000,1628,TRUE,0.045454545,0.272727273,0.090909091,22,0.077683616,0.211864407,0.127118644,708,1
Technology,44900,581,FALSE,0,0.05,0.25,20,0.081081081,0.192792793,0.169369369,555,1
Games,20000,2496.47,FALSE,0.083333333,0.125,0.125,24,0.067357513,0.126943005,0.183937824,386,0
Publishing,7500,20,FALSE,0.071428571,0,0.285714286,14,0.079545455,0.079545455,0.159090909,176,1
Crafts,3000,10,FALSE,0,0.428571429,0.142857143,7,0,0,0,59,1
Art,6500,4020,FALSE,0.166666667,0.222222222,0.111111111,18,0.109489051,0.200729927,0.182481752,274,0
Publishing,11000,1260,FALSE,0.052631579,0.210526316,0.157894737,19,0.078341014,0.130184332,0.180875576,868,1
Music,3000,320,FALSE,0.058823529,0.117647059,0.176470588,17,0.071895425,0.14379085,0.169934641,153,0
Music,2400,3963,TRUE,0.222222222,0.166666667,0.111111111,18,0.102316602,0.158301158,0.158301158,518,0
Food,40000,510,FALSE,0.095238095,0.333333333,0.142857143,21,0.065868263,0.106786427,0.125748503,1002,0
Publishing,7000,2146,FALSE,0.117647059,0.294117647,0.117647059,17,0.054433714,0.166812994,0.156277436,1139,1
Design,1500,0,FALSE,0.111111111,0.166666667,0.111111111,18,0.079096045,0.15819209,0.203389831,177,0
Art,10000,0,FALSE,0.083333333,0.208333333,0.166666667,24,0.062962963,0.181481481,0.22962963,270,0
Food,100,0,FALSE,0.0625,0.375,0.1875,16,0.040609137,0.157360406,0.16751269,197,1
Technology,30000,0,FALSE,0.095238095,0.238095238,0.095238095,21,0.066815145,0.175946548,0.109131403,449,1
Design,7800,15,FALSE,0.15,0.55,0.05,20,0.142493639,0.361323155,0.124681934,393,1
Food,5500,85,FALSE,0.095238095,0.285714286,0.095238095,21,0.084821429,0.209821429,0.151785714,224,0
Fashion,25000,0,FALSE,0,0.071428571,0.214285714,14,0.074183976,0.118694362,0.210682493,337,0
Fashion,5500,6570,TRUE,0.117647059,0.235294118,0.117647059,17,0.100645161,0.233548387,0.141935484,775,0
